GB-WLS|Pays de Galles|https://flagdownload.com/wp-content/uploads/Flag_of_Wales-64x38.png
CM|Cameroun|https://flagdownload.com/wp-content/uploads/Flag_of_Cameroon-64x43.png
JP|Japon|https://flagdownload.com/wp-content/uploads/Flag_of_Japan-64x43.png
AU|Australie|https://flagdownload.com/wp-content/uploads/Flag_of_Australia-64x32.png
CR|Costa Rica|https://flagdownload.com/wp-content/uploads/Flag_of_Costa_Rica-64x38.png
QA|Qatar|https://flagdownload.com/wp-content/uploads/Flag_of_Qatar-64x25.png
BE|Belgique|https://flagdownload.com/wp-content/uploads/Flag_of_Belgium-64x56.png
GH|Ghana|https://flagdownload.com/wp-content/uploads/Flag_of_Ghana-64x43.png
US|États-Unis|https://flagdownload.com/wp-content/uploads/Flag_of_United_States-64x34.png
RS|Serbie|https://flagdownload.com/wp-content/uploads/Flag_of_Serbia-64x43.png
DE|Allemagne|https://flagdownload.com/wp-content/uploads/Flag_of_Germany-64x38.png
PL|Pologne|https://flagdownload.com/wp-content/uploads/Flag_of_Poland-64x40.png
UY|Uruguay|https://flagdownload.com/wp-content/uploads/Flag_of_Uruguay-64x43.png
MX|Mexique|https://flagdownload.com/wp-content/uploads/Flag_of_Mexico-64x37.png
CA|Canada|https://flagdownload.com/wp-content/uploads/Flag_of_Canada-64x32.png
SA|Arabie Saoudite|https://flagdownload.com/wp-content/uploads/Flag_of_Saudi_Arabia-64x43.png
KR|Corée du Sud|https://flagdownload.com/wp-content/uploads/Flag_of_South_Korea-64x43.png
FR|France|https://flagdownload.com/wp-content/uploads/Flag_of_France-64x43.png
EC|Équateur|https://flagdownload.com/wp-content/uploads/Flag_of_Ecuador-64x43.png
NL|Pays-Bas|https://flagdownload.com/wp-content/uploads/Flag_of_Netherlands-64x43.png
GB-ENG|Angleterre|https://flagdownload.com/wp-content/uploads/Flag_of_England-64x38.png
IR|Iran|https://flagdownload.com/wp-content/uploads/Flag_of_Iran-64x37.png
AR|Argentine|https://flagdownload.com/wp-content/uploads/Flag_of_Argentina-64x40.png
SN|Sénégal|https://flagdownload.com/wp-content/uploads/Flag_of_Senegal-64x43.png
HR|Croatie|https://flagdownload.com/wp-content/uploads/Flag_of_Croatia-64x32.png
BR|Brésil|https://flagdownload.com/wp-content/uploads/Flag_of_Brazil-64x45.png
MA|Maroc|https://flagdownload.com/wp-content/uploads/Flag_of_Morocco-64x43.png
ES|Espagne|https://flagdownload.com/wp-content/uploads/Flag_of_Spain-64x43.png
PT|Portugal|https://flagdownload.com/wp-content/uploads/Flag_of_Portugal-64x43.png
CH|Suisse|https://flagdownload.com/wp-content/uploads/Flag_of_Switzerland-64x64.png
DK|Danemark|https://flagdownload.com/wp-content/uploads/Flag_of_Denmark-64x48.png
TN|Tunisie|https://flagdownload.com/wp-content/uploads/Flag_of_Tunisia-64x43.png
